0	5	2.0
0	4	2.0
0	1	1.0
0	0	2.0
0	3	1.0
1	2	5.0
1	3	3.0
1	0	4.0
1	4	1.0
1	5	4.0
2	1	1.0
2	4	3.0
2	0	1.0
2	2	5.0
2	3	1.0
3	0	5.0
3	1	5.0
3	5	5.0
3	2	3.0
3	3	4.0
3	4	4.0
4	0	4.0
4	4	4.0
4	5	4.0
5	1	1.0
5	4	4.0
5	2	2.0
5	5	3.0
5	0	3.0
6	5	1.0
6	0	2.0
7	3	4.0
7	0	2.0
7	2	2.0
7	1	2.0
8	3	4.0
8	2	3.0
8	0	1.0
8	5	1.0
9	2	4.0
9	0	2.0
9	4	3.0
9	5	2.0
10	1	5.0
10	3	4.0
10	4	5.0
10	2	1.0
10	0	5.0
11	3	2.0
11	0	1.0
11	5	1.0
11	1	4.0
12	5	4.0
12	3	1.0
12	0	2.0
13	0	4.0
13	5	3.0
14	1	3.0
14	0	5.0
15	0	4.0
15	5	4.0
16	5	5.0
16	3	5.0
16	0	4.0
16	4	1.0
17	3	3.0
17	0	3.0
17	5	5.0
18	0	3.0
18	3	1.0
19	3	2.0
19	1	1.0
19	0	4.0
19	5	4.0
19	4	2.0
20	0	2.0
20	1	4.0
20	4	3.0
21	3	5.0
21	5	4.0
21	0	2.0
22	3	5.0
22	0	4.0
22	1	2.0
23	0	3.0
23	1	5.0
24	4	2.0
24	1	5.0
24	5	3.0
25	1	2.0
26	3	5.0
26	2	4.0
26	1	1.0
26	5	4.0
27	2	5.0
27	5	2.0
27	1	5.0
28	1	3.0
29	4	3.0
29	5	4.0
29	3	3.0
29	1	4.0
30	2	1.0
30	1	1.0
30	3	4.0
30	5	4.0
31	4	5.0
31	1	3.0
32	5	2.0
32	1	3.0
32	4	3.0
32	2	1.0
33	1	3.0
34	1	2.0
34	2	1.0
34	5	5.0
34	4	1.0
35	1	5.0
35	4	4.0
35	2	2.0
36	5	1.0
36	1	5.0
37	1	5.0
37	5	5.0
37	4	4.0
38	4	4.0
38	3	2.0
38	1	2.0
38	2	3.0
38	5	5.0
39	3	2.0
39	4	4.0
39	2	1.0
39	5	4.0
39	1	5.0
40	1	1.0
40	3	3.0
41	4	1.0
41	1	2.0
41	3	3.0
41	5	2.0
42	3	2.0
42	1	2.0
42	2	3.0
43	2	3.0
43	1	4.0
43	5	2.0
43	3	1.0
44	2	5.0
44	1	1.0
45	1	3.0
45	5	4.0
46	1	5.0
46	4	2.0
46	2	1.0
46	5	3.0
47	2	4.0
47	3	4.0
47	1	1.0
47	5	4.0
48	1	4.0
48	5	5.0
48	4	2.0
49	3	5.0
49	1	4.0
49	2	1.0
50	1	4.0
50	3	5.0
50	4	5.0
50	2	3.0
51	5	2.0
51	4	3.0
51	1	5.0
52	2	2.0
52	1	1.0
52	5	1.0
53	1	3.0
54	4	3.0
54	1	3.0
55	3	5.0
55	2	2.0
55	5	3.0
55	4	3.0
55	1	4.0
56	4	5.0
56	1	3.0
56	2	2.0
56	3	2.0
57	4	1.0
57	3	5.0
57	5	4.0
57	1	1.0
58	1	2.0
58	4	3.0
58	3	4.0
58	2	5.0
59	2	1.0
59	4	2.0
59	3	4.0
59	5	3.0
59	1	2.0
60	4	5.0
60	5	4.0
60	1	1.0
60	2	1.0
61	4	5.0
61	3	3.0
61	2	2.0
61	1	4.0
61	5	4.0
62	4	5.0
62	1	2.0
62	3	5.0
62	2	1.0
63	5	5.0
63	3	4.0
63	1	4.0
63	4	1.0
64	5	5.0
64	2	5.0
64	3	3.0
64	1	2.0
64	4	4.0
65	1	1.0
65	4	1.0
65	3	5.0
66	3	4.0
66	1	5.0
66	4	1.0
66	2	4.0
66	5	1.0
67	1	5.0
67	3	3.0
67	4	1.0
68	5	4.0
68	4	5.0
68	3	2.0
68	1	4.0
68	2	5.0
69	4	1.0
69	1	2.0
69	3	3.0
69	5	4.0
70	1	2.0
70	4	5.0
71	3	2.0
71	1	1.0
71	4	5.0
72	1	1.0
73	5	1.0
73	1	2.0
74	3	2.0
74	1	5.0
74	5	4.0
75	4	3.0
75	1	4.0
76	3	5.0
76	5	4.0
76	1	4.0
76	4	4.0
77	3	1.0
77	2	5.0
77	4	4.0
78	2	4.0
78	4	1.0
78	5	4.0
79	2	2.0
79	3	2.0
79	4	2.0
80	5	3.0
80	2	1.0
80	4	2.0
81	3	4.0
81	5	3.0
81	4	1.0
81	2	3.0
82	5	3.0
82	2	1.0
83	2	3.0
83	4	5.0
83	3	4.0
84	4	3.0
84	3	4.0
84	2	5.0
84	5	3.0
85	2	3.0
85	4	4.0
86	2	3.0
86	5	3.0
87	2	2.0
87	3	3.0
87	5	4.0
87	4	1.0
88	3	1.0
88	4	1.0
88	5	4.0
89	5	1.0
89	3	5.0
90	4	1.0
90	5	3.0
90	3	3.0
91	4	3.0
91	3	2.0
92	3	5.0
92	4	3.0
93	3	5.0
93	5	3.0
94	5	3.0
94	3	2.0
95	3	1.0
95	4	4.0
95	5	5.0
96	5	5.0
96	3	3.0
97	5	2.0
97	4	4.0
98	5	4.0
